south side,moby featuring gwen stefani,2001," See myself in the pouring home
See the light, come over now
I see myself in the pouring rain
I watch hope come over me Here we are now, going to the East side
I pick up my friends and we start to ride
Ride all night and we ride all day
Some may come, no but some may stay Here we are in the pouring home
I watch the light man fall the comb
I watch a light move across the screen
I watch the light come over me Here we are now going to the West side
Weapons in hand as we go for a ride
Some may come, no but some may stay
Watching out for a sunny day Where there's love and darkness
And my sidearm, hey, Elan, Elan Here we are now going to the North side
I look at my friends as they start to ride
Ride at night and we ride all day
Looking out for a sunny day Here we are now going to the South side
I pick up my friends and we hope we won't die
Ride at night, ride through Heaven and Hell
Come back, love and feel so well"
dont tell me,madonna,2001," Don't tell me to stop
Tell the rain not to drop
Tell the wind not to blow
'Cause you said so, mmm-hmm Tell the sun not to shine
Not to get up this time, no, no
Let it fall by the way
But don't leave me where I lay down Tell me love isn't true
It's just something that we do
Tell me everything I'm not but
Please don't tell me to stop Tell the leaves not to turn
But don't ever tell me I'll learn, no, no
Take the black off a crow
But don't tell me I have to go... Tell the bed not to lay
Like a open mouth of a grave, yeah
Not to stare up at me
Like a calf down on its knees Tell me love isn't true
It's just something that we do
Tell me everything I'm not but
Don't ever tell me to stop (Don't you ever) Tell me love isn't true
It's just something that we do
(Don't you ever) Tell me everything I'm not but
Don't ever tell me to stop (Don't you ever) Please don't
Please don't
Please don't tell me to stop
(Don't you ever) Don't you (Tell me)
Ever
Don't ever tell me to stop (tell the rain not to drop) Tell the bed not to lay
Like a open mouth of a grave, yeah
Not to stare up at me
Like a calf down on its knees (Tell the bed not to lay)
(Like a open mouth of a grave, yeah)
(Not to stare up at me)
(Like a calf down on its knees)"
get ur freak on,missy elliott,2001," Headbanger hit me, hit me, hit me, hit me, hit me
(Yeah)
Gimme some new shit
(Yeah)
Gimme some new shit
(Yeah)
Gimme some new shit
(Yeah)
Gimme some new shit Missy be puttin it down, I'm the hottest round
I told y'all mother, y'all can't stop me now
Listen to me now, I'm lastin twenty rounds
And if you want me, then come on get me now
(Nigga)
(Yes)
Is you with me now?, Then biggie biggie bounce
(Yes)
(Yes)
I know you dig the way I sw-sw-switch my style
(Hullo)
People sing around
(Yes)
Now people gather round, now people jump around
(Yes) (Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Getcha getcha getcha getcha getcha freak on (Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Getcha getcha getcha getcha getcha freak on Is that your chick?, People you know
(Yes)
Me and Timbaland been hot since twenty years ago
(Yes)
What da dilly yo, now what da drilly yo?
(Yes)
If you wanna battle me then, lemme know
(Nigga)
(Yes)
(Hullo)
Got to feel it son
Lemme throw you some
(Maut mujhko)
(Yes)
People here I come, now sweat me when I'm done
(Yes)
We got the radio shook like we got a gun
(Yes) (Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Getcha getcha getcha getcha getcha freak on (Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Getcha getcha getcha getcha getcha freak on Quiet!, ssh, hush yo' mouth
Silence when I, spit it out
In yo' face
Open your mouth, give you a taste
(Hullo)
Ain't no stoppin me
Copywritten so, don't copy me
Y'all do it, sloppily
And y'all can't come, close to me
(Yes) I know you feel me now, I know you hear me
Loud
(Yes)
(Yes)
I scream it loud and proud, Missy gon' blow it
(Yes)
Down
(Yes)
People gon' play me now, in and outta town
(Yes)
(Yes)
Cause I'm the best around, with this crazy style
(Yes) (Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Getcha getcha getcha getcha getcha freak on (Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Get your freak on
(Go)
Getcha getcha getcha getcha getcha freak on {Bitch means sound check}"
crazy,kci  jojo,2001,
fill me in,craig david,2001," (Can you fill me in)
I was checking this girl next door
When her parents went out
She phoned said hey boy, come on right around
So I knock at the door
You was standing with a bottle of red wine
Ready to pour
Dressed in all that Satin and Lace to the floor
So I went in Then we sat down start kissing
Caressing
Told me about Jacuzzi
Sounded interesting
So we jumped right in
All calls diverted to answerphone
Please leave a message after the tone
I'm not being mean
Her Parents were kinda cool
But they ran a fine line between me and you
we were just doing things young people in love do Parents trying to find out what we were up to
Saying why were you creeping round late last night
Why did I see two shadows moving in your bedroom light
Now you're dressed in black
When I left you were dressed in white
Can you fill me in
Calls diverted to answerphone
Red wine bottle half the contents gone
Midnight return Jacuzzi turned on Can you fill me in
Whenever the coast was clear and she'd ask me to come out
I'd say hey girl, come on right around
So she knocked at the door
I was standing with the keys in my hand to the 4x4
Jumped in my ride
Checking that nobody saw
The club we went in
We got down down down to the rhythm
Saw it was early morning
Thought we'd better be leaving So I gave you my jacket for you to hold
Told you to wear it cause you felt cold
I'm not being mean I didn't mean to break the rules
I weren't trying to play your Mum and Dad for fools
We were just doing things young people end up doing
Parents trying to find out what we were up to
Saying why can't you keep your promises no more
Say you'll be home by 12 come strolling in at 4
Out went the girls but leaving with the boy next door
Can you fill me in
Wearing a jacket who's property
Said you'd been queuing for a Taxi
But you left all your money on the TV
Can you fill me in
(Can you fill me in)
All they seem to do
Is be checking up on you
Baby
(Craig David)
Watching our every move
Think some day they might approve
Baby
Why were you creeping round late last night
Why did I see two shadows moving in your bedroom light
Now you're dressed in black
When I left you were dressed in white
Can you fill me in
(Can you fill me in)
Calls diverted to answerphone
Red wine bottle half the contents gone
Midnight return Jacuzzi turned on
Can you fill me in
(Can you fill me in)"
someone to call my lover,janet,2001," Back on the road again
Feeling kinda lonely
And looking for the right guy
To be mine
Friends say I'm crazy cause
Easily I fall in love
You gotta do it different J
This time
Maybe we'll meet at a bar
He'll drive a funky car
Maybe we'll meet at a club
And fall so deeply in love
He'll tell me I'm the one
And we'll have so much fun
I'll be the girl of his dreams (maybe)
Alright baby come on
dance my way i gotta
get some one
to call my lover
yeah! baby come on
Yeah baby come on
Alright baby come in
Pass my way
I gotta get someone to call my lover
Yeah baby come on
I-YI-I-YI-I-YI-I-YI-I-YI-I-YI-I-YI
I-I-I-I
I-YI-I-YI-I-YI-I-YI-I-YI-I-YI-I-YI
I-I-I-I
I spoil them when I'm in love
Given them what they dream of
Sometimes it's not a good thing
But I'm blind
I love hard with everything
Giving my all
More than they
I'll take my friends' advice this time
I'll do it differently
Maybe we'll meet at a bar
He'll drive a funky car
Maybe we'll meet at a club
And fall so deeply in love
He'll tell me I'm the one
And we'll have so much fun
I'll be the girl of his dreams maybe
Alright maybe gonna find him today
I gotta get someone to call my lover
Yeah baby come on
Alright baby come in
Pass my way
I gotta get someone to call my lover
Yeah baby come on
I-YI-I-YI-I-YI-I-YI-I-YI-I-YI-I-YI
I-I-I-I
I-YI-I-YI-I-YI-I-YI-I-YI-I-YI-I-YI
I-I-I-I
My my
Looking for a guy guy
I don't want him too shy
But he's gotta have the qualities
That I like in a man
Strong, smart, affectionate
He's gotta be all for me
And I'll be too
You see happily
Maybe we'll meet at a bar
He'll drive a funky car
Maybe we'll meet at a club
And fall so deeply in love
He'll tell me I'm the one
And we'll have so much fun
I'll be the girl of his dreams maybe
Alright maybe gonna find him today
I gotta get someone to call my lover
Yeah baby come on
Alright baby come in
Pass my way
I gotta get someone to call my lover
Yeah baby come on
Alright maybe gonna find him today
I gotta get someone to call my lover
Yeah baby come on
Alright baby come in
Pass my way
I gotta get someone to call my lover
Yeah baby come on
I-YI-I-YI-I-YI-I-YI-I-YI-I-YI-I-YI
I-I-I-I
I-YI-I-YI-I-YI-I-YI-I-YI-I-YI-I-YI
I-I-I-I My-my looking for a guy-guy
I don't want him too shy
But he's got to have the qualities that I like
In a man
Strong smart affectionate
Gotta be over me and I'll be
Too you'll see
Happily Maybe we'll meet at a bar
He'll drive a funky car
Maybe we'll meet at a club
And fall so deeply in love
He'll tell me I'm the one
And we'll have so much fun
I'll be the girl of his dreams maybe Alright maybe gonna find him today
I gotta get someone to call my lover
Yeah baby come on
Alright baby come in
Pass my way
I gotta get someone to call my lover
Yeah baby come on Alright maybe gonna find him today
I gotta get someone to call my lover
Yeah baby come on
Alright baby come in
Pass my way
I gotta get someone to call my lover
Yeah baby come on Ai-Yai-Ai-Yai
Ai-Yai
Ai-Yai
Ai-Yai-Ai-Yai
Ai-Yai
Ai-Yai-Yai-Yai-Yai"
with arms wide open,creed,2001," Well I just heard the news today
It seems my life is gonna to change
I close my eyes, begin to pray
Then tears of joy stream down my face With arms wide open
under the sunlight
welcome to this place
i'll show you everything With arms wide open
With arms wide open Well I don't know if I'm ready
To be the man I have to be
I'll take a breath, I'll take her by my side
We stand in awe, we've created life
With arms wide open
Under the sunlight
Welcome to this place I'll show you everything
With arms wide open
Now everything has changed I'll show you love
I'll show you everything
With arms wide open
With arms wide open
I'll show you everything Oh yeah
With arms wide open
Wide open
If I had just one wish
Only one demand
I hope he's not like me
I hope he understands
That he can take this life
And hold it by the hand
And he can greet the world
With arms wide open
With Arms wide open
Under the sunlight
Welcome to this place
I'll show you everything
With arms wide open
Now everything has changed
I'll show you love
I'll show you everything
With arms wide open
With arms wide open
I'll show you everything oh yeah
With arms wide open
wide open"
all or nothing,otown,2001," I know when he's been on your mind That distant look is in your eyes
I thought with time you'd realize it's over, over
It's not the way I choose to live
And something somewhere's got to give
As sharing this relationship gets older, older
You know I'd fight for you
But how can I fight someone who isn't even there I've had the rest of you, now I want the best of you I don't care if that's not fair
Cause I want it all or nothing at all
There's no where left to fall
When you reach the bottom, it's now or never
Is it all, or are we just friends Is this how it ends, with a simple telephone call
You leave me here, with nothing at all There are times it seems to me
I'm sharing you in memories
I feel it in my heart but I don't show it, show it
And then there's times you look at me
As though I'm all that you can see
Theres times I dont believe its right, I know it, know it Don't make me promises
Baby you never did know how to keep them well I've had the rest of you, now I want the best of you
It's time to show and tell
Cause I want it all or nothing at all
There's no where left to fall
When you reach the bottom, it's now or never
Is it all, or are we just friends Is this how it ends, with a simple telephone call
You leave me here, with nothing at all
Cause you and I
Could lose it all if you've got no more room
nowhere, inside, for me in your life
Cause I want it all or nothing at all
There's no where left to fall its now or never
(key change)
Is it all or nothing at all
Theres no where left to fall
When you reach the bottom, it's now or never
Is it all, or are we just friends
Is this how it ends, with a simple telephone call
You leave me here, with nothing at all x2"
bootylicious,destinys child,2001," Kelly, Can you handle this?
Michelle, Can you handle this?
Beyoncé, Can you handle this? I don't think they can handle this!
Barely move, we've arrived Lookin' sexy, lookin' fly Baddest chick, chick inside DJ, Gemini
Spotted me, attentive thang There you are, come on baby
Don't you wanna dance with me Can you handle, handle me?
You gotta do much better
If you gonna
Dance with me tonight
You gotta work your jelly
If you gonna
Dance with me tonight
Read my lips carefully
If you like what you see
Move, groove, prove
You can handle me
By the looks I got you
Sup and scared of me
Buckle your seatbelt
It's time for takeoff
I don't think you
Ready for this jelly
I don't think you
Ready for this jelly
I don't think you
Ready for this
'Cause my body too
Bootylicious for ya babe
I don't think you Ready for this jelly
I don't think you
Ready for this jelly
I don't think you Ready for this
'Cause my body too
Bootylicious for ya babe
Baby, can you handle this?
Baby, can you handle this?
Baby, can you handle this?
I don't think you
Can handle this
I'm about to break you off
H-Town going hard
Lead my hips
Slap my thighs
Swing my hair
Square my eyes
Lookin' hot
Smellin' good
Groovin' like
I'm from the hood
Look over my shoulder
I blow you a kiss
Can you handle
Handle this
I don't think you
Ready for this jelly
I don't think you
Ready for this jelly
I don't think you
Ready for this
'Cause my body too
Bootylicious for ya babe
I don't think you
Ready for this jelly
I don't think you
Ready for this jelly
I don't think you
Ready for this
'Cause my body too
Bootylicious for ya babe
Move your body
Up and down
(Whoo)
Make your booty
Touch the ground
(Whoo)
I can't help but
Wonder why
(Whoo)
Is my vibe too
Vibealacious for you
I shake my jelly
At every chance
When I whip
With my hips you
Slip into a trance
I'm hoping you can
Handle all this jelly
That I have
Now let's cut a rug
While we scat some jazz
(Scatting)
I don't think you
Ready for this jelly
I don't think you
Ready for this jelly
I don't think you
Ready for this
'Cause my body too
Bootylicious for ya babe"
im like a bird,nelly furtado,2001," You're beautiful, and that's for sure
You'll never, ever fade
You're lovely, but it's not for sure
That I won't ever change
And though my love is rare...
Though my love is true... I'm like a bird, I only fly away
I don't know where my soul is (soul is)
I don't know where my home is
And baby all I need for you to know is
I'm like a bird, I'll only fly away
I don't know where my soul is (soul is)
I don't know where my home is
All I need for you to know is Your faith in me brings me to tears
Even after all these years
And it pains me so much to tell
That you don't know me that well
And though my love is rare
Though my love is true I'm like a bird, I only fly away
I don't know where my soul is (soul is)
I don't know where my home is
And baby all I need for you to know is
I'm like a bird, I'll only fly away (I don't know)
I don't know where my soul is (soul is)
I don't know where my home is
All I need for you to know is It's not that I wanna say goodbye
It's just that every time you try
To tell me, me that you love me, oh (oh)
Each and every single day
I know I'm going to have to eventually give you away...
And though my love is rare, rare, rare
And though my love is true... yeah
I'm just scared...
That we may fall through... Yeah, yeah-yeah, yeah-yeah
I'm like a bird (I'm like a bird)
I don't know where my soul is (soul is)
I don't know where my home is And baby all I need for you to know is
I'm like a bird, I'll only fly away (fly away)
I don't know where my soul is (soul is)
I don't know where my home is (ahh it's true) And baby all I need for you to know is
I'm like a bird, I only fly away (And I don't know where my soul is)
I don't know where my soul is (I don't know where my home is)
I don't know where my home is (no)
And baby all I need for you to know is
I'm like a bird, I only fly away (I don't know where my soul is)
I don't know where my soul is (I don't know where my home is))
I don't know where my home is
And baby all I need for you to know is
I'm like a bird, I'll only fly away
I don't know where my soul is (soul is)
I don't know where my home is
And baby all I need for you to know is
I'm like a bird, I'll only fly away
I don't know where my soul is (soul is)
I don't know where my home is"
