if i ever fall in love,shai,1993," The very first time
That I saw your brown eyes
Your lips said ""Hello""
And I said ""Hi"" I knew right then you were the one
But I was caught up
In physical attraction
But to my satisfaction
Baby you were more than just a phase And if I ever (ever fall) in love again (again)
I will be sure that the lady is a friend
And if I ever (ever fall) in love so true (true)
I will be sure that the lady's just like you Oooh.
Yeeaah, baby, yeah.
Ma-ma, ma-my, ma-my.
I swear next time she'll be my friend. If I say that I can be your one and only
(Promise, promise) Promise that you'll never leave me lonely
I just wanna be the one you need
Oh baby
I just wanna be the one who serves you
Sometime I feel as if I don't deserve you
I cherish every moment that we share And if I ever (ever fall) in love again (again)
I will be sure that the lady is a friend
And if I ever (ever fall) in love so true (true)
I will be sure that the lady's just like you (My friend)
Very next time she will be my friend
Someone who I can believe in
(My friend) And if I ever (ever fall) in love again (again)
I will be sure that the lady is a friend
And if I ever (ever fall) in love so true (true)
I will be sure that the lady's just like you"
dreamlover,mariah carey,1993," Tu tu ru tu tu tu tu ooh, baby
(Yea, baby)
Tu tu ru tu tu tu tu ooh, baby
(Oh yea)
I need a lover to give me The kind of love that will last always I need somebody uplifting
To take me away, babe
Oh yea, yea
I want a lover who knows me, yea
(Ooh, baby)
Who understands how I feel inside
Someone to comfort and hold me Through the long, lonely nights
Till the dawn
Why don't you take me away?
Dreamlover come rescue me
Take me up, take me down
Take me anywhere you want to baby now
I need you so desperately
Won't you please, come around
'Cause I wanna share forever with you baby
(Tu tu ru tu tu tu tu tu, oooh) With you baby, hey
I don't want another pretender, na
To disillusion me one more time
Whisperin' words are forever
Playin' with my mind No, no, no, no, no, no baby
I need someone to hold on to
(Ooh, baby)
The kind of love that won't fly away
I just want someone to belong to
Everyday
Of my life
Always So come and take me away
Dreamlover come rescue me
Take me up take me down
Take me anywhere you want to baby now
I need you so desperately
(I need you so desperately)
Won't you please come around
'Cause I wanna share forever with you baby
Baby, ooh, ohh yea
(Tu tu ru tu tu tu tu)
Baby come and take me
(Away, yea)
Dreamlover come rescue me
Take me up, take me down Take me anywhere you want to baby now
I need you so desperately
(Ooh, I need you baby)
Won't you please, come around
(Won't you please, please)
'Cause I wanna share forever with you baby
(Yea, yea, yea)
(Tu turutu tu ohh, ohh ohh)
(I need you so, I need you so)
Take me up, take me down
(Take me up, ooh)
Take me anywhere you want to baby now
I need you so desperately
(Come on baby)
Won't you please, come around
'Cause I wanna share forever with you baby"
rump shaker,wreckxneffect,1993," Yeah.
All I wanna do is zoom-a-zoom-zoom-zoom
Rump Shaker""and a boom-boom - JUST SHAKE YA RUMP
All I wanna do is zoom-a-zoom-zoom-zoom
and a boom-boom - JUST SHAKE YA RUMP (rump shaker)
Check baby check baby one two three four Check baby check baby one two three
Check baby check baby one two
Check baby check baby one
It's called the rump shaker, the beats is like sweeter than candy
I'm feelin manly and your shaker's comin in handy
Slide em across(??) from New York down by your Virginia Ticklin you around Delware before I enter
Turn to seduction from face hips to feet
A wiggle and a jiggle can make the night complete Now since you got the body of the year, come and get the award
Here's a hint - it's like a long sharp sword
Flip tail, so let me see you shake it up like dice
The way you shake your rump is turnin mighty men to mice But A Plus got a surprise that's a back breaker
Now let me see you shake your rump like a rump shaker
All I wanna do is zoom-a-zoom-zoom-zoom
and a boom-boom - JUST SHAKE YA RUMP (rump shaker) Check baby check baby one two three four
Check baby check baby one two three
Check baby check baby one two
Check baby check baby one Yup yup it's Teddy, ready with the one-two checker
Wreckx-N-Effect is in effects but I'm the wrecker
of the track 'bout the honey shakin rumps and they backs in
Booties of the cuties steady shakin but relaxin The action, is packed in a jam like a closet
Beats bound to get you up, cold flowin like a faucet
Not mean to make you sit, not mean to make you jump
but yep make the hotties in the party shake your rump
I like the way you comb your hair (UH!)
I like the stylish clothes you wear (UH!) It's just the little things you do (UH!)
that makes me wanna get with you (UH!)
All I wanna do is zoom-a-zoom-zoom-zoom
and a boom-boom - JUST SHAKE YA RUMP (rump shaker)
Shake it, shake it, shake it now SHAKE IT
She can spend every birthday butt NAKED Body is soft, makin me wanna SQUISH HER
More just than a game, a rumper like a sub-WOOFER
Shake it to the left (SHAKE IT) shake it to the RIGHT
I don't mind stickin it to her every single NIGHT Come on, pass the boom boom, send it to POPPA
Shake it baby shake it baby shake it don't STOPPA
Let me see you do the booty hop (HOP)
and now make the booty STOP Now drop and do the booty wop (ooooooh)
The way you shakin your reals, will[?] appeal[?]
is makin [?], OF A WHOLE LOT OF BILLS
But I ain't into trickin, just to treatin and I ain't into treatin every trick that I'm meetin
(Nah nah nah na nah nah nah)
Yeah, SHAKE IT BABY, SHAKE IT NOW SHAKE IT LIKE THAT
All I wanna do is zoom-a-zoom-zoom-zoom and a boom-boom - JUST SHAKE YA RUMP (rump shaker)
Check baby check baby one two three four
Check baby check baby one two three
Check baby check baby one two
Check baby check baby one, one
Check baby check baby one two three four Check baby check baby one two three
Check baby check baby one two
Check baby check baby one, one
All I wanna do is zoom-a-zoom-zoom-zoom
and a boom-boom - JUST SHAKE YA RUMP (rump shaker)
Check baby check baby one two three four Check baby check baby one two three
Check baby check baby one two
Check baby check baby one, one
Check baby check baby one two three four Check baby check baby one two three
Check baby check baby one two
Check baby check baby one, one
All I wanna do is zoom-a-zoom-zoom-zoom
and a boom-boom - JUST SHAKE YA RUMP (rump shaker)
All I wanna do is zoom-a-zoom
All I wanna do is zoom-a-zoom - JUST SHAKE YA RUMP
All I wanna do is zoom-a-zoom-zoom-zoom
and a boom-boom - JUST SHAKE YA RUMP (rump shaker)
Break it down.
Uhh, yeah. - JUST SHAKE YA RUMP
W-N-E
Uhh, yeah.
is in effect
Uhh, yeah.
Peace
Peace.
And we out."
informer,snow,1993," What's up man! Hey yo what's up! Yeah what's goin' on here?
Sick an' tired of five-oh runnin' up on the block here, you know what I'm sayin'?
Yo Snow, they came around lookin' for you the other day.
Word? Word! Bust it!
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down Police-a them-a they come and-a they blow down me door
One him come crawl through through my window
So they put me in the back of the car at the station
From that point on I reach my destination
Where the destination reached was the East Detention
Where they whipped down me pants and looked up me bottom
So Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down, so
Bigger are them think them have more power
Them on the phone me said that on hour Me for want to use it once to call me lover
Lover who me gonna callin' on the one Tammy
And me love her me heart down to my belly
Yes me Daddy me Snow, me are the cool and deadly
The one MC Shan and the one that is Snow
Together we are love'em as a tornado
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down, so
Listen for me ya better listen for me now
Listen for me ya better listen for me now
When me rock the microphone, me rock it steady
Yes sir Daddy Snow me are the Article Don
When me in at a dance them say, ""Where you come from?"" People them say I come from Jamaica
But me born and raised in the ghetto
That's all me man want you to know
Pure black people man that's all I man know
My shoes used to tear up and my toes used to show
Where me born is the one Toronto, so
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down
Come with a nice young lady
Intelligent, yes she's gentle and irie
Everywhere me go me never left here at all Yes, Daddy Snow me at the roam the dance man
Roam it in a dance in every nation
You'd never know, say Daddy me Snow
me at the Boom Shakata
Me never lay down flat in one cardboard box
Yes, Daddy me Snow I go reachin' out the top, so
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down
Why would he?
Me sitting round cool with my dibby dibby girl
Police knock my door, lick up my pal
Rough me up and I can't do a thing Pick up my line when my telephone ring
Take me to the station, black up my hands
Trail me down 'cause I'm hanging with the Snowman
What am I gonna do, I'm backed and I'm trapped
Slap me in my face, look all of my gap
They have no clues and they wanna get warmer
But Shan won't turn informer
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down
Informer
You know say Daddy me Snow me, I go blame
A licky boom-boom down
'Tective man says see Daddy me Snow me stabbed someone down the lane
A licky boom-boom down"
nuthin but a g thang,dr dre,1993," One, two, three and to the fo'
Snoop Doggy Dogg and Dr. Dre is at the do'
Ready to make an entrance, so back on up
'Cause you know we're 'bout to rip, shit up Gimme the microphone first, so I can bust like a bubble
Compton and Long Beach together, now you know you in trouble
Ain't nuttin' but a G thang, baby, two loc'ed out niggaz so we're crazy
'Death Row', is the label that pays me
Unfadeable, so please don't try to fade this
(Hell, yeah) But uhh, back to the lecture at hand
Perfection is perfected, so I'ma let 'em understand
From a young G's perspective and before me dig out
A bitch I have to find a contraceptive You never know she could be earnin' her man
And learnin' her man and at the same time burnin' her man
Now, you know I ain't with that shit, Lieutenant
Ain't no pussy good enough to get burnt while I'm up in it And that's realer than real deal Holyfield
And now you hookers and hoes know how I feel
Well, if it's good enough to get broke off a proper chunk
I'll take a small piece of some of that funky stuff It's like this, and like that, and like this, and uh
It's like that, and like this, and like that, and uh
It's like this, and like that, and like this, and uh
Dre, creep to the mic like a phantom Well, I'm peepin', and I'm creepin', and I'm creepin'
But I damn near got caught, 'cause my beeper kept beepin'
Now, it's time for me to make my impression felt
So, sit back, relax, and strap on your seatbelt You never been on a ride like this befoe
With a producer who can rap and control the maestro
At the same time with the dope rhyme that I kick
You know, and I know, I flow some old funky shit To add to my collection, the selection
Symbolizes dope, take a toke, but don't choke
If you do, you'll have no clue
On what me and my homey Snoop Dogg came to do It's like this, and like that, and like this, and uh
It's like that, and like this, and like that, and uh
It's like this, and who gives a fuck about those?
So just chill, 'til the next episode Fallin' back on that ass with a hellafied gangsta lean
Gettin' funky on the mic like a old batch of collard greens
It's the capital S, oh yes, I'm fresh, N double O P
D O double G Y, D O double G, ya see Showin' much flex when it's time to wreck a mic
Pimpin' hoes and clockin' a grip like my name was Dolomite
Yeah, and it don't quit, I think they in the mood
For some motherfuckin' G shit
(Hell, yeah) So, Dre
(Whattup, Dogg?)
Gotta give em what they want
(What's that, G?)
We gotta break em off somethin'
(Hell, yeah)
And it's gotta be bumpin'
(City of Compton) It's where it takes place so when asked, yo' attention
Mobbin' like a muh'fucker but I ain't lynchin'
Droppin' the funky shit that's makin' the sucka niggaz mumble
When I'm on the mic, it's like a cookie they all crumble Try to get close and your ass'll get smacked
My motherfuckin' homie Doggy Dogg has got my back
Never let me slip, 'cause if I slip, then I'm slippin'
But if I got my nina, then you know I'm straight trippin'
And I'ma continue to put the rap down, put the mack down
And if you bitches talk shit, I'll have to put the smack down
Yeah, and you don't stop, I told you I'm just like a clock
When I tick and I tock, but I'm never off
Always on to the break of dawn, C O M P T O N
And the city they call Long Beach, puttin' the shit together
Like my nigga D O C, no one can do it better
Like this, that, and this, and uh
It's like that, and like this, and like that, and uh
It's like this, and who gives a fuck about those?
So just chill, 'til the next episode"
in the still of the nite,boyz ii men,1993,
dont walk away,jade,1993," Hi we are not in right now
But if you leave your name and number
We'll get back to you I've got all this love, waiting just for you
I just gotta know that your love is true
Can't keep running boy in and out my life
Wanna be your girl, not 'cause the mood is right If I let you come inside, tomorrow will you hide
Will you be there for me, when I need someone to hold
Baby don't misunderstand, I do want for my man
I just need a little time, before I invest you my love
Don't walk away boy, my love won't hurt you
Don't walk away boy, I'll be right there for you You said all the things that I like to hear
You push all my buttons baby love to have close to me
Wanna feel your love wanna be for sure
That it's me you need baby each and every night If I let you come inside, tomorrow will you hide
Will you be there for me, when I need someone to hold
Baby don't misunderstand, I do want you for my man
I just need a little time, before I invest my love
Don't walk away boy, my love won't hurt you
Don't walk away boy, I'll be right there for you Baby don't misunderstand, I want you for my man
I need a little time before I give you my love
Don't walk away boy, I'll be right there for you Don't walk away
This is what is sounds like when we make love Don't walk away boy
Don't walk away boy, I'll be right there for you
Don't walk away boy, my love won't hurt you
Don't walk away boy, I'll be right there for you
Don't walk away boy, my love won't hurt you"
knockin da boots,htown,1993," Well... yeah... yeah... Yeah
We're doin' this one for all the ladies, huh
H-Town Boys kickin' it with my boy Luke
For the 9-3, you know what I', sayin'
'Cause we will be knockin' boots
GI, Shazam, Dino
They gon' do a little somethin' for you real sexy
Like you know what I'm sayin'
Hey, yo, check the verse Last night I thought to back
When we made good love
Listenin' to some Marvin Gaye
All night long Now I want that old flame back
Make these moments once again comfort
So won't you, won't you, mmm
Do it for us, babe Good lovin', body rockin' all night long, yeah
Makin' love until we tire to the break of dawn
But oh, come on, come on and turn the lights down, and let me get on it, yeah
'Cause when I do, just me and you, it'll be so right A-give me some good love
(Somebody rockin' knockin' da boots)
A-give me some good love
(Somebody rockin' knockin' da boots) Somebody rockin', baby, ooh A-give me some good love
(Somebody rockin' knockin' da boots) That's all I need, I need
A-give me some good love
(Somebody rockin' knockin' da boots) I feel so good when I'm near you
That's why I always want to be close to you
I'm so addicted, I'm so addicted
To makin' love to you, baby
All night long, baby, all night long, long, long, long Good lovin', body rockin' all night long, oh, oh
Makin' love until we tire to the break of dawn
But oh, come on, come on and turn the lights down, and let me get on it, uh
'Cause when I do, just me and you, it'll be so right, so right, so right A-give me some good love
(Somebody rockin' knockin' da boots)
A-give me some good love
(Somebody rockin' knockin' da boots) That's all I want, baby A-give me some good love
(Somebody rockin' knockin' da boots) A little body, body rockin', yeah
A-give me some good love
(Somebody rockin' knockin' da boots) Complete rockin' Some sweet love
(Somebody rockin' knockin' da boots) Give you mounds of pleasure
'Cause I'm ready
(Somebody rockin' knockin' da boots) I'm so ready I'm so ready, baby
(Somebody rockin' knockin' da boots)
To give you everything that we've been waitin' on
(Somebody rockin' knockin' da boots) So come on and give it to me, baby Ah, yeah
Right about now we on the intermission tip
So all you ladies go get your towels
You know what I'm sayin', ha
'Cause it's laid out like that, you know
But wait a minute, we ain't through
Kick the vamp Whoa... ho... oh...
(Somebody rockin' knockin' da boots) Oh, baby, whoa I want your good touch, lady
You're here with me, my baby
It's drivin' me crazy
So won't you come on
(Somebody rockin' knockin' da boots)
Come on and rock my body, rock my body, baby
Come on and rock my body
Yeah... ha... ha... hey...
I want to lay you down
(Somebody rockin' knockin' da boots)
So let me make some sweet lovin', baby
I will turn the lights down low and close the door
(Somebody rockin' knockin' da boots)
I'll do everything to you, oh
'Cause I'm ready"
show me love,robin s,1993," Ahh, yeah yeah You've got to show me love
Heartbreaks and promises
I've had more than my share
I'm tired of giving my love And getting nowhere, nowhere
What I need is somebody
Who really cares
I really need a lover A lover that wants to be there
It's been so long
Since I touched a wanting hand
I can't put my love on the line That I hope you'll understand
So baby if you want me
You've got to show me love
Words are so easy to say, oh ah yeah You've got to show me love
I'm tired of getting caught up
In those one night affairs
What I really need is somebody
Who will always be there
Don't you promise me the world
All that I've already heard
This time around for me baby
Actions speak louder than words
If you're looking for devotion, talk to me
Come with your heart in your hand
Because my love is guaranteed
So baby if you want me
You've got to show me love
Words are so easy to say, oh ah yeah
You've got to show me love
Show me, show me baby
You've got to give it to me
Give it to me, give it to me, yeah
I don't want no fakes, don't want no phoney
I need your love
Show me, show me, show me baby
Give it to me, give it to me
I am not a toy, I'm not a play thang
You've got to understand
If you're looking for devotion, talk to me
Come with your heart in your hand
Because me love is guaranteed
Yeah, yeah, yeah, yeah, yeah"
a whole new world,peabo bryson and regina belle,1993," Ooh
I can show you the world
Shining, shimmering, splendid
Tell me, princess, now when did
You last let your heart decide? I can open your eyes
Take you wonder by wonder
Over, sideways and under
On a magic carpet ride A whole new world
A new fantastic point of view
No one to tell us no
Or where to go
Or say we're only dreaming A whole new world
A dazzling place I never knew
But now from way up here
It's crystal clear
That now I'm in a whole new world with you Unbelievable sights
Indescribable feeling
Soaring, tumbling, freewheeling
Through an endless diamond sky A whole new world
(Don't you dare close your eyes)
A hundred thousand things to see
(Hold your breath - it gets better)
I'm like a shooting star
I've come so far
I can't go back to where I used to be A whole new world
With new horizons to pursue
I'll chase them anywhere
There's time to spare
Let me share this whole new world with you And in my honest observation
During this operation
(Oh)
Found a complication in your heart
So long, 'cause now you've got
Maybe just two weeks to live
Is that the most the both of you can give? A whole new world
(A whole new world)
A new fantastic point of view
No one to tell us no
Or where to go
Or say we're only dreaming A whole new world
(Every turn a surprise)
With new horizons to pursue
(Every moment gets better)
I'll chase them anywhere
There's time to spare
Anywhere
There's time to spare
Let me share this whole new world with you
A whole new world
(A whole new world)
That's where we'll be
(Where we will be)
A thrilling chase
A wondrous place
For you and me"
